,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B00BKV3HQW,Cobra Electronics Corporation CX112 2 Way Radio Cobra 2 Pack,Cobra Electronics Corporation,3.5 out of 5 stars,113 ratings,"['Electronics', 'Portable Audio & Video', 'CB & Two-Way Radios', 'Two-Way Radios']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
1,B019YV75Y4,0,0,0,0,0,0
2,B00JQJV2NA,StarTech.com VGA to HDMI Adapter with USB Audio - VGA to HDMI Converter for Your Laptop / PC to HDTV - AV to HDMI Connector (VGA2HDU),StarTech,4.4 out of 5 stars,55 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Computer Cable Adapters', 'HDMI-to-VGA Adapters']","['ULTIMATE PORTABILITY: This VGA to HDMI adapter with USB audio / power is lightweight and compact, fitting perfectly into your laptop bag. Additionally, because the HDMI dongle is powered by the USB port, it eliminates the need for external power adapters.', 'CONNECT LEGACY SYSTEMS: Save the cost of upgrading with this VGA to HDMI connector. Simply plug your existing VGA-equipped laptop, PC or other device into your newer HDTV or HDMI-equipped projector to start sharing content.', 'CRYSTAL-CLEAR PICTURE QUALITY: You won’t have to compromise on picture quality with this VGA to HDMI converter. It provides crisp, clear picture quality with support for resolutions up to 1920x1080 (1080p).', 'PLUG-AND-PLAY: To ensure a hassle-free setup, this HDMI converter cable supports plug-and-play installation, requiring no additional software or drivers.', 'RELIABLE SUPPORT: Backed by a StarTech.com 2-year warranty, this USB-powered AV to HDMI adapter has free lifetime technical support.']"
3,B00KJLE2P4,Linksys RE4000W N600 PRO Wi-Fi Range Extender (RE4000W),Linksys,3.5 out of 5 stars,656 ratings,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Repeaters']","['Make sure this fits\nby entering your model number.', 'Universal Compatibility: Wireless-N technology is compatible with all a/b/g/n devices', 'Works with any router or gateway including routers supplied by a service provider', 'Simultaneous Dual Band: 2.4 and 5 GHz bands reduce traffic and maximize speed. Up to 300Mbps data transfer on each band', 'Cross-Band Technology maximizes the simultaneous use of both bands for faster data transfer speeds QoS prioritizes bandwidth for smoother media streaming', '2 Fast Ethernet Ports extend the range for two wired devices', 'Easy Setup: Installation wizard provides easy installation and directs optimal placement', 'Push-Button Security WPS makes adding devices simple and secure']"
4,B00SDFF6S0,"TRENDnet Gigabit PoE+ Repeater/Amplifier, Single Port PoE Power over Ethernet, Extends 100m for Total Distance Up to 200m (656 ft.), TPE-E100",TRENDnet,3.7 out of 5 stars,25 ratings,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Switches']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
5,B00ZTSEU1I,ULAK iPad Mini Case [KNOX ARMOR] Full-Body Rugged Hybrid Protective Case Kickstand for Apple iPad Mini 1/2/3 with Built-in Screen Protector(Mint Green),ULAK,4 out of 5 stars,66 ratings,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Cases']","['Specially designed for Apple iPad mini 3, iPad mini 2, iPad mini 1 ONLY; Will not fit iPad mini 4 (2015 Release), the original iPad, iPad 2,3,4, iPad Air or iPad Air 2', 'Advanced Polycarbonate hard shell and flexible TPU withstands drop, bump and shock with Four corner cushioning for Protection', 'Front cover with built in screen protector prevents the screen from scratches without compromising sensitivity', 'Built in Kickstand for convenient hand free media viewing', 'iPad mini 1/2/3 case compatible with Apple iPad mini 1/2/3 only and it will NOT fit iPad mini 4, iPad Air, iPad Pro']"
6,B00MCA17MG,"SHOOT Floating Hand Grip,12pcs Anti Fog Inserts for Osmo Action Camera Handle Stick Bobber Floaty Handheld Monopod for GoPro Hero 8/7/6/5/4/3+/3/Hero(2018) Campark AKASO DBPOWER Crosstour Accessories",SHOOT,4.3 out of 5 stars,67 ratings,"['Electronics', 'Camera & Photo', 'Tripods & Monopods', 'Monopods']","['Make sure this fits\nby entering your model number.', 'Size: 5 3/4"" x 1 1/2"" x 1 1/2""(15cm x 3.8cm x 3.8cm),Weight:80g', 'Camera interface: universal 1/4 screw,light weight and float design prevents your camera from sinking under the water', 'Bright yellow outlook,easy to find in the water,together with adjustable wrist strap,so you have double protection.', 'It is designed for GoPro Hero 7/6/5/4/3+3 2 Osmo Action SJ4000/SJ5000 xiaomi yi Action camera Accessories,and be used in water sports.', 'Content:1*Bobber + 1*Adjustable Wrist Strap + 1*Screw+12*Anti Fog Inserts (Not included Camera and Waterproof case)']"
7,B01DNVV4MA,0,0,0,0,0,0
8,B00CO0DDZS,BUFFALO Linkstation 220 8TB Private Cloud Storage NAS with Hard Drives Included,BUFFALO,3.4 out of 5 stars,643 ratings,"['Electronics', 'Computers & Accessories', 'Data Storage', 'Network Attached Storage']","['Make sure this fits\nby entering your model number.', 'Hard drives included', 'Entry-class personal cloud: access and share your content anytime, anywhere over the Internet', 'Easy to set up: plug into your router for instant network access', 'Consolidate storage and backup your PC & Mac computers', 'Stream videos and photos to your DLNA/UPnP connected devices', 'Built-in Bit Torrent client for simplified file downloading and management', '8 TB Total capacity – 2 Drive Bays, ships in RAID 1 = 4 TB usable capacity', 'Easy to use with your smartphone or tablet devices - No computer needed']"
9,B00N2MGHMS,"Portta DAC Digital Coaxial or Toslink to Analog Stereo Audio R/L with 3.5mm Audio Converter Adapter with 1.8m Toslink Cable Supports Simultaneous Headphone,Speaker Outputs",Portta,4.0 out of 5 stars,508 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Video Converters']","['Make sure this fits\nby entering your model number.', '* Converts SPDIF Optical or Coaxial digital PCM audio input to analog stereo L/R RCA and 3.5mm Cable outputs simultaneously', '* Supported sample rates including 32kHz 44.1kHz, 48kHz, 96kHz and 192kHz, up to 24-bit resolution', '* Ultra low jitter and high fidelity design using new receiver & D/A converter chips', '* Auto sensing input selection with priority given to SPDIF; disable / disconnect SPDIF input for coaxial Input application']"
