,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B01GD47HRA,0,0,0,0,0,0
1,B01CW4CFKO,"YI Gimbal 3-Axis Handheld Stabilizer for Yi Lite, 4K, 4K+ and Other Action Cameras (Gimbal Only)",YI,4.2 out of 5 stars,93 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Professional Video Accessories', 'Stabilizers']","['Make sure this fits\nby entering your model number.', '3-Axis Pan / Tilt / Zoom Gimbal with 320 Degree Pan / Tilt rotation helps you to capture smooth footage even on the roughest roads.', '2-4.5 hours of battery life: Two 18650 lithium-ion batteries, each 850mAh.', 'Universal ¼"" thread attachment allows you to use the YI Handheld Gimbal with other professional mounts.', 'Seamless with YI - Compatible with the YI Lite, YI 4K+, and YI 4K Action Camera so you can record stable footage with incredible image quality, in up to 4K resolution.', '1x Gimbal in the package']"
2,B01C6XK1KW,Hermitshell Travel Case Fits HP Wireless Mouse X3000 (H2C22AA#ABL/K5D27AA#ABL/K5D29AA#ABA/K5D26AA#ABL),Hermitshell,4.9 out of 5 stars,13 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Keyboards, Mice & Accessories']","['Make sure this fits\nby entering your model number.', 'Hermitsell Brand new Carrying Case', 'Made to fit HP Wireless Mouse X3000 (H2C22AA#ABL/K5D27AA#ABL/K5D29AA#ABA/K5D26AA#ABL)', 'Material: EVA Color Black', 'For sale is case only (device and accessories are sold separately)']"
3,B015W5PMZ0,"USB-C-to-HDMI, LoHi 3-in-1 Digital Multiport Adapter, USB-C Quick Charging + HDMI (Supports 4K) + USB 3.1 Port, for HDMI Converter and MacBook/ChromeBook Pixel/USB-C Devices (Silver) (B)",LoHi,4.3 out of 5 stars,33 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Computer Cable Adapters', 'DVI-HDMI Adapters']","['Make sure this fits\nby entering your model number.', 'Pocket-sized,lightweight,handle:the durable aluminum body ensures reliability.', 'Non-slip, Non-scratch firm grip tabs and liners protect your device and keep it in place while in use.', '270 degrees rotating and one-touch button rotation allow for quick and endless adjustments to the viewing angle.', 'Perfect for watching videos, viewing photos, reading, video recording, and much more.', 'Mulity colours for choice:Gold and Sliver.']"
4,B01D1VLNWS,Cobra Electronics CDR 840 Drive HD Dash Cam with GPS (Renewed),Amazon Renewed,3.2 out of 5 stars,61 ratings,"['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Video', 'On-Dash Cameras']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
5,B016W3KAVC,Pixel TW-283/DC0 Wireless Shutter Release Remote Control for Nikon DSLR Digital Camera D800 D810 D850 Series 1D Series 2D Series 300 Series D700 D500 D200 D4 D5 N90s F5 F6 F100 F90 F90X D3s,PIXEL,4.0 out of 5 stars,62 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Remote Controls']","['Make sure this fits\nby entering your model number.', 'Shutter release remote compatible for Nikon D850 D800 D810 D700 D200 D300 D500 D1 D2 D3 D4 D4s D5 N90s F5 F6 F100 F90 D90X', ""It features no directionality, 80m+ remote distance and ultra- powerful anti-interference ability. With 30 channels for options,it can avoid interference caused by other similar devices. Using international 2.4G transmission technology.it's stable and quick in response to shutter"", ""When capturing the beautiful moments of sunrise and sunset and flowers bloom and fade , you don't need to wait for the whole time . You can set delay timer,exposure time, interval time, number of shoots, repeat shooting interval time and repeat time"", ""Available to control different brand's cameras and models by changing different camera connecting cable.The transmitter and receiver adopts LCD screen which is more easy and simple to handle"", 'Shutter remote support simple single shooting, 1s continuous shooting, [BULB] shooting, delay shooting and timer schedule shooting.Delay shooting setting can set delay time and shooting number, the delay time alters from 1s to 59s, shooting number alters from 1 to 99.Timer Schedule shooting time can be set from 0 sec to 99hrs59mins59sec. Shooting number can be set from 1 to 99']"
6,B018I2PZA6,FITUEYES Universal TV Stand Base Swivel Tabletop TV Stand Base with Mount for 32 to 60 inch Flat Screen TV 2 Level Height Adjustable Holds up to 110lbs Screens VESA 400x400mm TT104501GB,FITUEYES,4.3 out of 5 stars,624 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'TV Accessories & Parts', 'TV Ceiling & Wall Mounts']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
7,B00YT0GSAS,"ProCase Universal Folio Case for 9-10 inch Tablet, Leather Stand Protective Case Cover for 9"" 10.1"" Touchscreen Tablet with Multi-Angle Stand, Bonus procase Stylus Pen (Black)",ProCase,4.6 out of 5 stars,805 ratings,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Cases']","['Make sure this fits\nby entering your model number.', 'Universal Folio Case compatible with 9 - 10.1 inch tablets (No back camera opening; NOT support auto sleep/wake for any tablets)', 'Premium synthesized leather exterior and soft interior to prevent scratches; Versatile design turns cover into a stand for comfortable multiple viewing positions', 'Tension clips at four corners securely hold virtually all brands of 9"" to 10.1"" diagonal tablets', 'Built-in stylus pen holder; Comes with bonus procase stylus pen', 'Magnetic flap securely ensure closure; Search ""procase universal case"" for other styles and color options offered by Tech Vendor']"
8,B01D6LA9SC,"magnaroute PW-17 Multi-Vendor Rack Mount Kit Compatible with Select 17.3"" Wide Cisco, D-Link, Dell PowerConnect, HP V1910, Linksys, and NETGEAR Switches",magnaroute,3.4 out of 5 stars,18 ratings,"['Electronics', 'Computers & Accessories', 'Networking Products']","['Make sure this fits\nby entering your model number.', 'Please check the compatibility list below before ordering. For 17.3"" wide (full width) switches only!', 'Each kit contains 2 rack mount ears, 8 screws (M3), 8 screws (M4), and a color-matched high quality cage nut kit (4 x M6) with metal cup washers.', 'Rack ears are made of high strength carbon steel with a black protective coating.', 'Works with over 150 different switches! Use the schematic image to verify hole spacing against your equipment before ordering.', 'A perfect OEM substitute for Dell Part WJ690.']"
9,B01CW4C2HU,"YI 360 VR Camera Dual-Lens 5.7K HI Resolution Panoramic Camera with Electronic Image Stabilization, 4K in-Camera Stitching",YI,2.9 out of 5 stars,55 ratings,"['Electronics', 'Camera & Photo', 'Video', 'Sports & Action Video Cameras']","['Make sure this fits\nby entering your model number.', ""5.7K Resolution: Records 360 videos in up to 5.7K resolution at 30 frames per second with the 'Auto-Stitch' option in the app or in the in-camera menu turned off, ready to stitch in the accompanying YI 360 Studio (Windows) （Note: Compatible devices and software is required to playback 5.7K videos)."", 'In-Camera Stitching: 4K/30fps in-camera stitching, shoot then share complete 4K 360 videos and pictures without the need of post-processing.', 'YI 360 APP: Use the accompanying YI 360 App (iOS & Android) to effortlessly connect to your smartphone, where you can view in four different modes, download and share to social media, instantly.', 'Dual-Lens: Dual-lens camera, each lens is 220° with an aperture of f/2.0 and together provide complete 360° coverage, with clear vibrant images and zero blind spots; Built-in Advanced Electronic Image Stabilization(EIS) keeps your footage stable.', 'Package Includes: YI 360 VR Camera, battery, USB Type-C cable,mini tripod, protective bag, user manual. NOTE:YI 360 is only compatible with 1400mAH YI 360 VR/4K/4K+ Replacement Battery.']"
