,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B01A007NSQ,0,0,0,0,0,0
1,B019ZXHJQ0,"SwissGear® Maxxum Double Zipper Backpack With 16"" Laptop Pocket, Black/Red",Swiss Gear,4.2 out of 5 stars,37 ratings,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Bags, Cases & Sleeves', 'Backpacks']","['No deductibles or added costs. Parts, labor and shipping included.', 'Stains, rips or tears and seam separation covered from day one. Other breakdowns covered after the manufacturer warranty expires.', 'File a claim online or by phone 24/7.', ""If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
2,B00YY3WB6U,VisionTek Products Radeon 7750 SFF 2GB GDDR5 4M Graphics Card 900798,VisionTek,4.2 out of 5 stars,38 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components', 'Graphics Cards']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
3,B00Y8G31WQ,"Suptek MD5211W Single LCD Monitor Desk Mount Stand With Gas Spring Fully Adjustable/Tilt/Articulating For 1 Screen up to 27""",suptek,4.3 out of 5 stars,74 ratings,"['Office Products', 'Office & School Supplies', 'Desk Accessories & Workspace Organizers', 'Platforms, Stands & Shelves', 'Monitor Arms & Stands']","['Make sure this fits\nby entering your model number.', 'BROAD COMPATIBILITY: Ideal for 13"" to 30"" monitors that weigh up to 22lbs(10KGS); Compatible with VESA hole patterns of 75x75 - 100x100mm. Rotatable VESA plate patterns supports portrait or landscape monitor orientation.', 'HASSLE-FREE: heavy duty C-clamp and grommet mount bases are included for easy and quick installation onto any desk or table. Two installation methods : clamp or hole.', 'SPACE-SAVING: foldable arm frees up additional space and extends up to about 22"", adjust the viewing position to your liking. Tilt range:90¡ãup/down; Rotate range: 180¡ãat head of mount. Vertical pole height: 20cm(7.87\'\').', 'ERGONOMIC COMFORT: gas spring assisted full-motion desktop mount provides smooth, precise and effortless viewing angle adjustment for the best viewing position.', 'ELIMINATE CABLE CLUTTERS: Cable management clips included to keep cables neat and organized.']"
4,B00WUZPMHE,"OWC Accelsior S PCIe Adapter for 2.5"" SATA III SSD Drives",OWC,4.2 out of 5 stars,154 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
5,B0156YBCKG,"Nzxt GRID+V2, 12V Digital Fan Controller with Molex 4-Pin connector (AC-GRDP2-M1 )",NZXT,4.5 out of 5 stars,135 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']","['Make sure this fits\nby entering your model number.', 'Controlled via CAM Software', '12V with Molex 4-Pin connector', '3M Dual Lock', 'Maximum Combined Wattage: 30', 'Fan Connector Quantity: 6']"
6,B01F1JJ1IG,Gobe 52mm ND1000 (10 Stop) ND Lens Filter (2Peak),Gobe,4.6 out of 5 stars,130 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Filters & Accessories', 'Graduated Color Filters']","['Make sure this fits\nby entering your model number.', '10 F-STOP REDUCTION | Gobe Neutral Density ND1000 provides a fixed 10 f-stop light reduction, which allows long exposure and motion blur techniques in bright light. Recommended for landscape photography.', 'COLOUR NEUTRAL | Consciously designed to maintain colour neutrality with no colour cast for better image quality and truer colours.', 'GOBE 2PEAK | Premium Japanese optical glass with 16-layer nano-coating provides neutral colour balance, reduces lens flare, removes ghosting and protects against scratches, dirt, and grime. Backed by our lifetime warranty.', 'NO VIGNETTING | Consciously designed durable magnalium rims are double-threaded for stacking and slim profile to avoid vignetting. This is a Fixed Neutral Density lens filter not a Variable ND. To find your correct filter size, check final image in gallery.', 'PLANTS 5 TREES | Buying with Gobe helps fund local communities to plant 5 trees in areas affected by deforestation – help us reforest the world, one product at a time.']"
7,B00T3ESRTU,Canon Battery Pack LP-E17,Canon,4.7 out of 5 stars,501 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Batteries & Chargers', 'Batteries', 'Camera Batteries']","['Make sure this fits\nby entering your model number.', ""7.2 V, 1040mAh, Li-ion, An extra battery to extend shooting time when you're away from home"", 'No deductibles or hidden fees', 'Free ground shipping on all repairs', 'Fully transferable with gifts. Cancel anytime, full refund in the first 30 days']"
8,B015FH0XKE,"OMOTON Adjustable Tablet Stand Compatible with iPad, Tablets (Up to 12.9 inch) and all Cell Phones, Stable Sticky Base, Silver",OMOTON,4.7 out of 5 stars,"1,386 ratings","['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Stands']","['Superior Stability: With the sticky base made of nano-absorption material, the tablet stand has a strong and stable base that won’t slip even on a 75°slope. The sticky base can be cleaned easily with water without affecting the adhesiveness.', 'Wide Compatibility: Compatible with all devices from 3.5-12.9 inch, such as iPad 10.2, iPad Pro 10.5, iPad Pro 9.7, iPad Air, iPad mini, Samsung Tab S6/S5e, Surface Pro 6, Amazon Fire Tablets, Kindle E-reader, iPhone 11 Pro XS Max /Xr.', 'Multi-Angle: This adjustable tablet stand can hold your tablet horizontally or vertically and meet your demands of multiple viewing angles when using the tablet.', 'Anti-Slip Pad and Charging Port: The anti-slip and scratch silicone pad provides your devices with comprehensive care. The design of the charging port makes it easy and convenient to charge your devices.', 'Premium Presents: The durable aluminum stand is lightweight and solid. With a sleek and stylish design, the stand offers a comfortable and elegant touch. This tablet stand would be a great gift for special events and occasions.']"
9,B01A0NDQN4,"Neewer for DJI Phantom 3 Standard, Professional, and Advanced, 2-Pack Protective Camera Lens Caps Protector Covers, Made of Premium ABS Plastic-Black",Neewer,3.9 out of 5 stars,126 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Lens Accessories']","['Make sure this fits\nby entering your model number.', 'Custom made for the DJI Phantom 3 Standard, Professional, and Advanced camera lens. *NOTE: DJI Phantom 3 Camera NOT INCLUDED', 'Locks camera to gimbal and prevents the lens from dust and scratches while storing and transporting', 'Made of high impact ABS plastic for extra durability', 'Lightweight design with fine workmanship for a well-built lens cap', 'Extra one for back-up in case one is lost or broken']"
