,asin,product_name,product_rating,product_rate_count,category,description
0,B01GR46AVU,Ancord Micro Wireless Speaker TWS System Portable Tiny Body Loud Voice Shutter Button Selfie Features (Blue),4.2 out of 5 stars,280 ratings,"['Electronics', 'Portable Audio & Video', 'Portable Speakers & Docks', 'Portable Bluetooth Speakers']","['SMALL BODY-HUGE VOLUME: Ancord offers to all girls & boys out there the cutest mini Bluetooth speaker! Do let its small size fool you! It packs so much loudness it would make any bigger wireless speakers jealous!', 'PORTABLE, UNIQUE DESIGN: Our Micro Bluetooth speaker is very compact. It will allow you to rock out your jam wherever you go. Whether you want to listen to the radio and chill, or listen to your favorite mp3 collection, you simply fit it in your bag and you’re ready to go!', 'MULTI-FUNCTIONAL & MORE STABLE: With Bluetooth V4.2, Ancord’s wireless mobile phone speaker, serves multiple purposes! You can set up your TWS(True Wireless Stereo, need 2 speakers) system with 2 speakers (follow the instructions). Take phone calls on the speaker with loud volume and clarity or have it be your remote shutter! Take that perfect selfie with a touch of a button! No more hassle with selfie-sticks!', 'BEATIFUL & MODERN DESIGN: If you are fed up with carrying around heavy and clunky speakers, then this wireless Bluetooth speaker is ideal for you. Featuring a compact and sleek design that you’ll want to show off, and a very simple one button operation, it will be any youngster’s instant favorite!', 'FULL SATISFACTION OR YOUR MONEY BACK: We are so sure you’ll love our portable small Bluetooth speaker, that we offer you a 3 MONTHS Money Back Guarantee and a 2-Year warranty. You simply CAN’T GO WRONG with a purchase like this. Click Add To Cart Now!']"
1,B01FEYA61Y,TechMatte Charging Stand for Apple Pencil - Premium Aluminum Charging Dock with Built-in Charging Cable (5feet),4.2 out of 5 stars,"1,063 ratings","['Electronics', 'Computers & Accessories', 'Tablet Accessories']","['Apple Pencil charger by TechMatte allows you to charge your pencil while still looking stylish and sleek on your desk.', ""The stand's charging dock comes with the proper cable to charge your Apple Pencil built into the stand."", 'Our Apple Pencil Charger stand holds both your Apple pencil and cap', 'Apple Pencil charging dock is easy to use and durable', ""TechMatte's Apple Pencil Charging stand is made of solid aluminum""]"
2,B01F1WJBS8,"USB-C to VGA Adapter 1080P @60Hz for 2017 MacBook Pro, Lenovo 900, Dell XPS 13, HP Spectre x2 and More- Newest Updated Version … (C-VGA)",4.7 out of 5 stars,90 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Computer Cable Adapters', 'USB-to-VGA Adapters']","['Make sure this fits\nby entering your model number.', '1. USB C To VGA Adapter. Compatible with Devices with USB-C/Thunderbolt 3/Type-C Port: New MacBook Pro (2016/2017),12"" MacBook 2016, Dell XPS 13(9350/9360), Dell XPS 15, Dell Inspiron 13-700, Lenovo Yoga 900/900s, Acer Predator 15, Chromebook Pixel, HP Spectre x360, HP Spectre x2 etc. * Currently NOT Support: Lenovo Yoga 910, Lenovo Yoga 720-13IKB', '2. USB-C To VGA Adapter allows you to mirror/extend video/image from your laptops with USB-C Port to your tv/monitor/projector with VGA Port. Provide you Full High-Definition video/Crystal Image.', '3. Supports Resolutions up to 1080P @60Hz 1920*1200@60Hz (HD),800x600, 1024x768, 1280x768, 1280x800, 1280x960, 1280x1024, 1440x900, 1600x1200, 1680x1050, 1920x1080. Laptop resolutions up to 1920 x 1200 are easily achieved', '4. Gold-plated VGA interface : Resisting corrosion, providing rigidity and more better and stable signal transmission performance. A VGA to VGA cable is needed(sold saperately)', '5. Plug and Play. No need driver to install. An Ideal VGA Adapter for New Devices with USB-C/Thunderbolt 3/Type-C']"
3,B01DXVK3KY,TP-Link AC5400 Wireless Wi-Fi Tri-Band Gigabit Router (Archer C5400),3.3 out of 5 stars,725 ratings,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Routers']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
4,B01GHLWK58,"BroadLink New RM Mini3 IR Control Hub,Smart Home Wi-Fi Enabled Infrared Universal Remote Control, One for All Control TV PVR VDO DVD CD AUD SAT (2020 RM Mini3)",3.2 out of 5 stars,526 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Remote Controls & Accessories', 'Remote Controls']","['【Tech Support & Warranty】 America:Tell: +1-40-4476-4482，Video Guide on YouTube or our official website(www.ibroadlink.com). Or get our Tech Support directly via email (support@ibroadlink.com). One year Warranty, Please contact us。', '【Voice Control】Compatible with Alexa Google home ，Use your voice to control your TV, “Alexa, turn on the TV”, “Alexa, change the channel to Fox” and so on.', '【APP Control】Control IR appliances with IHC App anywhere anytime. Set up timers to turn on/off appliances at a specific time or customize scenes with multiple devices. Turning your basic home devices into smart devices and making life smarter and more convenient. (Note:The RM Mini3 only support 2.4 GHz Wi-Fi)', '【Compatibility】Support 80,000+IR (38KHz) controlled devices such as TV, STB, A/C, Personal Video Recorder, DVD, receiver and more. Supported devices library is constantly being updated by the cloud so your RM Mini3 is always compatible with newer devices. Large IR database that over 98% IR remote function. Option to program your devices features if certain cloud data is unavailable.', ""【Learning function】learn your remote controller if appliance model is not available.(Note:Infrared Control Range :8-10M,consideration of IR features, please don't put obstructions between smart IR and appliances.）""]"
5,B01GHF5VS2,"eSynic USB Floppy Drive 3.5"" USB External Floppy Disk Drive Portable 1.44 MB FDD USB Drive Plug and Play for PC Windows 10 7 8 Windows XP Vista Mac Black",4.1 out of 5 stars,"1,167 ratings","['Electronics', 'Computers & Accessories', 'Data Storage', 'Floppy & Tape Drives']","['3.5"" USB External Floppy Disk Drive, Super slim and lightweight, easy to carry, ideal for Desktops and Laptops', 'External Diskette Drive with USB interface, USB 1.1/2.0/3.0 compatible', 'Read/Write 1.44 MB floppy disk, Plug & Play with MAC Windows 10 Windows 8 7 VISTA/XP/ME/2000/SE/98', 'High quality hard plastic enclosure, durable and very nice looking', 'Powered directly from the USB port, no external power required, with interference preventer, has a strong anti-interference ability']"
6,B01H9BLN3K,DEWALT 20V MAX Bluetooth Jobsite Radio and Battery Charger (DCR025),4.2 out of 5 stars,177 ratings,"['Electronics', 'Portable Audio & Video', 'CB & Two-Way Radios', 'Accessories', 'Battery Chargers']","['Make sure this fits\nby entering your model number.', 'Powered by 20V/60V FLEXVOLT Dewalt batteries as well as AC power cord.', '3 AMP Charging of 20V/60V Dewalt batteries when unit is plugged into AC power', 'Bluetooth connectivity up to 100 ft', '2 Additional AC power outlets', 'Aux & 2.1 AMP USB Charging Ports']"
7,B01E613CEY,Haoge Quick Release QR Clamp Adapter Convertor for Manfrotto RC2 System to Arca-Swiss Compatible,4.3 out of 5 stars,67 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Tripod & Monopod Accessories', 'Camera Mounts & Clamps']","['Make sure this fits\nby entering your model number.', 'The Haoge Quick Release Clamp for Arca-Type Plates with Manfrotto RC2 Base is a specialty Arca Swiss-type clamp that features a Bogen/Manfrotto RC2 plate/base at its bottom. It allows you to add Arca-type plates to your Bogen/Manfrotto RC2 quick release system', ""Note: It can't be used for Manfrotto Fluid Head. Recommend Haoge CP-MA90 Adapter for Manfrotto Fluid Head ( ASIN: B07D92DZ7K).""]"
8,B01G1TBJZ8,"AK for Fitbit Alta Bands, Replacement Fitbit Bands for Fitbit Alta/Alta HR with Metal Clasp",4.2 out of 5 stars,856 ratings,"['Electronics', 'Wearable Technology', 'Accessories', 'Arm & Wristband Accessories']","['Make sure this fits\nby entering your model number.', 'Personalized your Fitbit Alta hr. 2017 / Fitbit Alta fitness tracker - AK replacement Fitbit Alta band TPU wristband', 'Made of TPU - this Fitbit Alta band with connector is durable and long lasting, available for both men and women when sport, dating, meeting etc.', 'Available in large size and small size - AK Fitbit Alta (hr.) bands / Fitbit Alta bands fits for 5.5 inch - 8.1 inch wrist', 'More color choices than original Fitbit Alta band / Fitbit Alta hr. band, black, blue, blush, green orange ,purple, red, slate, teal, white, yellow', 'AK Fitbit Alta hr. band / Alta band compatible with Fitbit Alta hr. 2017 and Fitbit Alta 2016 - for Fitbit Alta hr. 2017 / Fitbit Alta 2016 only']"
9,B01E7NIIYU,"LG GizmoGadget Screen Protector, BoxWave [ClearTouch Crystal (2-Pack)] HD Film Skin - Shields From Scratches for LG GizmoGadget",3.1 out of 5 stars,83 ratings,"['Cell Phones & Accessories', 'Accessories', 'Screen Protectors']","['Make sure this fits\nby entering your model number.', 'Award winning, crystal clear GizmoGadget screen protector, precision-cut to fit your device’s exact dimensions!', 'Amazing glass-like clarity; ultra-high, 99% visual transparency produces vibrant colors', 'Made from high-grade thermoplastics designed for durability; Protects your screen from scratches and dust', 'Glueless adhesive bonds perfectly to your screen and will never leave a sticky residue after peeling', 'Each package contains 2 ClearTouch Crystal screen protectors, a ClearTouch Applicator card, and microfiber cleaning cloth']"
10,B01H4ZLZLQ,"ELEGOO MEGA 2560 R3 Board ATmega2560 ATMEGA16U2 + USB Cable Compatible with Arduino IDE, RoHS Compliant",4.5 out of 5 stars,313 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Single Board Computers']","['Make sure this fits\nby entering your model number.', 'The Mega is 100% compatible with Arduino IDE and most shields designed for the Arduino mega2560 r3，RoHS Compliant', 'The chip is Atmega2560-16au and Atmega16u2, same with the official version.', 'Improved and expert version: 1. 0 pinout: added SDA and SCL pins that are near to the AREF pin and two other new pins placed near to the RESET pin, the IOREF that allow the shields to adapt to the voltage provided from the board. In future, shields will be compatible both with the board that use the AVR, which operate with 5V and with the Due that operate with 3. 3V. The second one is a not connected pin, that is reserved for future purposes.', 'Stronger RESET circuit. Use 5. 5 * 2. 1mm DC barrel jack (compatible with 5. 5 * 2. 5mm DC barrel jack)', 'It contains everything needed to support the microcontroller; simply connect it to a computer with a USB cable or power it with an AC-to-DC adapter or battery to get started.']"
11,B01FGEJWXU,"DSALL Hard Case Travel Bag for Anker Sound Core / and SoundBot SB571 Bluetooth Speaker, Includes a Audio Cable , has Pockets for Audio/USB Cable, Adjustable Handle, 2 Side Zipper Pullers, includes a Carabiner",4.8 out of 5 stars,214 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Speaker Parts & Components', 'Case Hardware & Latches']",['121']
